CrashDate,CrashTime,Borough,Cause,Count,Code
2/14/2020,10:01,BRONX,Driver Inattention/Distraction,1,A376
2/14/2020,12:00,Unspecified,Following Too Closely,1,A377
2/14/2020,17:47,Unspecified,Following Too Closely,1,A378
2/14/2020,7:15,QUEENS,Turning Improperly,1,A379
2/14/2020,18:25,QUEENS,Driver Inattention/Distraction,1,A380
2/14/2020,13:00,Unspecified,Following Too Closely,1,A381
2/14/2020,10:30,QUEENS,View Obstructed/Limited,1,A382
2/14/2020,13:28,Unspecified,Unsafe Lane Changing,1,A383
2/14/2020,17:01,Unspecified,Unsafe Lane Changing,1,A384
2/14/2020,21:50,MANHATTAN,Unspecified,1,A385
2/14/2020,16:20,QUEENS,Driver Inattention/Distraction,1,A386
2/14/2020,19:45,BROOKLYN,Driver Inattention/Distraction,1,A387
2/14/2020,16:35,Unspecified,Failure to Yield Right-of-Way,1,A388
2/14/2020,7:43,BROOKLYN,Failure to Yield Right-of-Way,1,A389
2/14/2020,12:36,QUEENS,Driver Inattention/Distraction,1,A390
2/14/2020,19:25,BROOKLYN,Following Too Closely,1,A391
2/14/2020,14:45,Unspecified,Unsafe Lane Changing,1,A392
2/14/2020,18:40,STATEN ISLAND,View Obstructed/Limited,1,A393
2/14/2020,17:33,Unspecified,Driver Inattention/Distraction,1,A394
2/14/2020,9:09,BRONX,Unspecified,1,A395
2/14/2020,21:17,MANHATTAN,Driver Inattention/Distraction,1,A396
2/14/2020,23:25,Unspecified,Driver Inattention/Distraction,1,A397
2/14/2020,23:57,Unspecified,Driver Inattention/Distraction,1,A398
2/14/2020,15:12,QUEENS,Unsafe Lane Changing,1,A399
2/14/2020,10:52,MANHATTAN,Backing Unsafely,1,A400
2/14/2020,14:55,QUEENS,Driver Inattention/Distraction,1,A401
2/14/2020,8:30,BRONX,Unspecified,1,A402
2/14/2020,20:00,Unspecified,Driver Inattention/Distraction,1,A403
2/14/2020,11:25,BROOKLYN,Driver Inattention/Distraction,1,A404
2/14/2020,18:45,STATEN ISLAND,Unspecified,1,A405
2/14/2020,0:00,BRONX,Unspecified,1,A406
2/14/2020,15:09,QUEENS,Following Too Closely,1,A407
2/14/2020,20:30,QUEENS,Turning Improperly,1,A408
2/14/2020,17:06,BROOKLYN,Unspecified,1,A409
2/14/2020,0:00,QUEENS,Passing Too Closely,1,A410
2/14/2020,16:00,BRONX,Other Vehicular,1,A411
2/14/2020,22:14,BRONX,Unspecified,1,A412
2/14/2020,11:53,MANHATTAN,Following Too Closely,1,A413
2/14/2020,12:15,BROOKLYN,Backing Unsafely,1,A414
2/14/2020,17:59,Unspecified,Unspecified,1,A415
2/14/2020,10:18,MANHATTAN,Driver Inattention/Distraction,1,A416
2/14/2020,16:44,BRONX,Unspecified,1,A417
2/14/2020,12:41,QUEENS,Driver Inattention/Distraction,1,A418
2/14/2020,17:16,BROOKLYN,Passing Too Closely,1,A419
